,Rank,Title,Lifetime Gross,Year,inflation_adjusted_gross
478,479,Megamind,321885765,2010,338917710.7229794
479,480,The Conjuring 2,321834351,2016,321834351.0
480,481,Green Book,321752656,2018,321752656.0
481,482,Lethal Weapon 3,321731527,1992,526497706.41509616
482,483,Robin Hood,321669741,2010,338690256.24222213
483,484,Inglourious Basterds,321457747,2009,344018840.4084983
484,485,101 Dalmatians,320689294,1996,469269201.8268706
485,486,The Conjuring,320406242,2013,320406242.0
486,487,Fatal Attraction,320145693,1987,647038118.297905
487,488,Sonic the Hedgehog,319715683,2020,319715683.0
488,489,The Last Airbender,319713881,2010,336630905.79628164
489,490,The Proposal,317375031,2009,339649584.3020738
490,491,The Polar Express,316897787,2004,385165857.64149284
491,492,A Beautiful Mind,316791257,2001,410690976.0567928
492,493,Beverly Hills Cop,316360478,1984,699080534.9945331
493,494,Air Force One,315156409,1997,450828788.58533335
494,495,Wonder,315025930,2017,315025930.0
495,496,The Expendables 2,314975955,2012,314975955.0
496,497,Chicken Little,314432837,2005,369646148.3777675
497,498,As Good as It Gets,314178011,1997,449429197.8662554
498,499,Knives Out,312897920,2019,312897920.0
499,500,Maze Runner: The Scorch Trials,312296056,2015,312296056.0
500,501,Resident Evil: The Final Chapter,312242626,2016,312242626.0
501,502,The Lego Batman Movie,312136671,2017,312136671.0
502,503,Austin Powers: The Spy Who Shagged Me,312016928,1999,429995285.51759905
503,504,Ocean's Thirteen,311312624,2007,344722779.72941315
504,505,Little Fockers,310650585,2010,327088043.4956617
505,506,Bolt,309979994,2008,330555295.29284775
506,507,Ransom,309492681,1996,452885038.8879158
507,508,Runaway Bride,309460292,1999,426471946.4672749
508,509,The Blind Side,309231694,2009,330934717.79803014
509,510,The Ex-File 3: Return of the Exes,307592427,2017,307592427.0
510,511,The Fault in Our Stars,307166834,2014,307166834.0
511,512,The Pursuit of Happyness,307127625,2006,349775098.8802083
512,513,Rise of the Guardians,306941670,2012,306941670.0
513,514,Close Encounters of the Third Kind,306889114,1977,1162704607.9161057
514,515,Chicago,306776732,2002,391518048.9539077
515,516,Annabelle: Creation,306515884,2017,306515884.0
516,517,Bridesmaids,306442085,2011,312783750.5434362
517,518,Skyscraper,304868961,2018,304868961.0
518,519,A Good Day to Die Hard,304654182,2013,304654182.0
519,520,Mulan,304320254,1998,428650947.22009814
520,521,Dangal,303723636,2016,303723636.0
521,522,Passengers,303144152,2016,303144152.0
522,523,Battleship,303025485,2012,303025485.0
523,524,Liar Liar,302710615,1997,433025177.19819313
524,525,G.I. Joe: The Rise of Cobra,302469017,2009,323697411.1183525
525,526,Wrath of the Titans,301970083,2012,301970083.0
526,527,Fantastic Four: Rise of the Silver Surfer,301913131,2007,334314530.5766029
527,528,Hook,300854823,1991,507154641.93731284
528,529,Superman,300478449,1978,1058098911.3451838
529,530,Rocky IV,300473716,1985,641142772.7816358
530,531,Rambo: First Blood Part II,300400432,1985,640986401.3439406
531,532,Resident Evil: Afterlife,300228084,2010,316114056.56297463
532,533,Van Helsing,300157638,2004,364819442.7685124
533,534,Stuart Little,300135367,1999,413621125.15605044
534,535,Beverly Hills Cop II,299965036,1987,606251518.2692254
535,536,Alice Through the Looking Glass,299820798,2016,299820798.0
536,537,My Best Friend's Wedding,299288605,1997,428130018.54436135
537,538,Real Steel,299268508,2011,305461719.95853096
538,539,Horton Hears a Who!,298572799,2008,318390933.77057445
539,540,Ocean's Eight,297795726,2018,297795726.0
540,541,A Quiet Place Part II,297372261,2021,297372261.0
541,542,The Divergent Series: Insurgent,297002527,2015,297002527.0
542,543,Look Who's Talking,296999813,1989,549914315.047758
543,544,Austin Powers in Goldmember,296938801,2002,378962574.0788994
544,545,Ghostbusters,296578797,1984,655367779.7730317
545,546,Miss Peregrine's Home for Peculiar Children,296482446,2016,296482446.0
546,547,X-Men,296339528,2000,395109045.2475726
547,548,Ferdinand,296069199,2017,296069199.0
548,549,Shutter Island,294805697,2010,310404754.72822577
549,550,Doctor Dolittle,294456605,1998,414757483.2415337
550,551,Bee Movie,293514336,2007,325014374.606129
551,552,Salt,293503354,2010,309033500.8359137
552,553,G-Force,292817898,2009,313368940.89789635
553,554,The Departed,291480452,2006,331955173.09765875
554,555,What Lies Beneath,291420351,2000,388550313.9808014
555,556,Pacific Rim: Uprising,290930148,2018,290930148.0
556,557,The Bourne Supremacy,290835269,2004,353488791.6928851
557,558,Sex and the City 2,290745055,2010,306129251.9245973
558,559,Shakespeare in Love,289317794,1998,407519199.973227
559,560,Divergent,288885818,2014,288885818.0
560,561,Coming to America,288752301,1988,560404021.9424683
561,562,Elvis,288670284,2022,288670284.0
562,563,Wedding Crashers,288485135,2005,339142120.25186884
563,564,Maze Runner: The Death Cure,288175335,2018,288175335.0
564,565,Casper,287928194,1995,433770247.85587925
565,566,American Pie 2,287553595,2001,372787013.49762845
566,567,Pitch Perfect 2,287144079,2015,287144079.0
567,568,The Green Mile,286801374,1999,395245346.1113806
568,569,Oblivion,286168572,2013,286168572.0
569,570,Elysium,286140700,2013,286140700.0
570,571,Lethal Weapon 4,285444603,1998,402063608.4735092
571,572,John Carter,284139100,2012,284139100.0
572,573,Turbo,282570682,2013,282570682.0
573,574,Paddington,282377683,2014,282377683.0
574,575,Bridget Jones's Diary,281995610,2001,365581592.7856578
575,576,The Tourist,278780441,2010,293531554.14643025
576,577,Split,278454417,2017,278454417.0
577,578,Scary Movie,278019771,2000,370683340.89996517
578,579,xXx,277448382,2002,354088292.47864366
579,580,The Bourne Legacy,276144750,2012,276144750.0
